Foto,Diputado,Distrito,Inicia mandato,Finaliza mandato,Bloque
,"ABDALA DE MATARAZZO, NORMA AMANDA",SANTIAGO DEL ESTERO,10/12/2013,9/12/2017,FRENTE CIVICO POR SANTIAGO
,"ABRAHAM, ALEJANDRO",MENDOZA,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"AGUAD, OSCAR RAUL",CORDOBA,10/12/2013,9/12/2017,UCR
,"AGUILAR, LINO WALTER",SAN LUIS,10/12/2011,9/12/2015,COMPROMISO FEDERAL
,"ALEGRE, GILBERTO OSCAR",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"ALFONSIN, RICARDO LUIS",BUENOS AIRES,10/12/2013,9/12/2017,UCR
,"ALONSO, LAURA",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,UNION PRO
,"ALONSO, MARIA LUZ",LA PAMPA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"ARENAS, BERTA HORTENSIA",SAN LUIS,10/12/2013,9/12/2017,COMPROMISO FEDERAL
,"ARGUMEDO, ALCIRA SUSANA",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,PROYECTO SUR - UNEN
,"ARREGUI, ANDRES ROBERTO",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"ASSEFF, ALBERTO EMILIO",BUENOS AIRES,10/12/2011,9/12/2015,UNIR
,"AVOSCAN, HERMAN HORACIO",RIO NEGRO,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"BALCEDO, MARIA ESTER",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"BALDASSI, HECTOR",CORDOBA,10/12/2013,9/12/2017,UNION PRO
,"BARCHETTA, OMAR SEGUNDO",SANTA FE,10/12/2011,9/12/2015,PARTIDO SOCIALISTA
,"BARDEGGIA, LUIS MARIA",RIO NEGRO,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"BARLETTA, MARIO DOMINGO",SANTA FE,10/12/2013,9/12/2017,UCR
,"BARRETO, JORGE RUBEN",ENTRE RIOS,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"BASTERRA, LUIS EUGENIO",FORMOSA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"BAZZE, MIGUEL ANGEL",BUENOS AIRES,10/12/2011,9/12/2015,UCR
,"BEDANO, NORA ESTHER",CORDOBA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"BERGMAN, SERGIO ALEJANDRO",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,UNION PRO
,"BIANCHI, MARIA DEL CARMEN",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"BIANCHI, IVANA MARIA",SAN LUIS,10/12/2011,9/12/2015,COMPROMISO FEDERAL
,"BIDEGAIN, GLORIA MERCEDES",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"BIELLA CALVET, BERNARDO JOSE",SALTA,10/12/2011,9/12/2015,UDESO SALTA
,"BINNER, HERMES JUAN",SANTA FE,10/12/2013,9/12/2017,PARTIDO SOCIALISTA
,"BOYADJIAN, GRACIELA EUNICE",TIERRA DEL FUEGO,10/12/2011,9/12/2015,MOV POP FUEGUINO
,"BRAWER, MARA",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"BRIZUELA DEL MORAL, EDUARDO SEGUNDO",CATAMARCA,10/12/2013,9/12/2017,FRENTE CIVICO Y SOCIAL DE CATAMARCA
,"BROMBERG, ISAAC BENJAMIN",TUCUMAN,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"BROWN, CARLOS RAMON",BUENOS AIRES,10/12/2011,9/12/2015,FE
,"BULLRICH, PATRICIA",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,UNION PRO
,"BURGOS, MARIA GABRIELA",JUJUY,10/12/2013,9/12/2017,UCR
,"BURYAILE, RICARDO",FORMOSA,10/12/2013,9/12/2017,UCR
,"CABANDIE, JUAN",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"CACERES, EDUARDO AUGUSTO",SAN JUAN,10/12/2013,9/12/2017,UNION PRO
