Date/Time,Document Title,Document Url,respuesta_Adjudicatario,respuesta_Importe total,respuesta_Tipo de gasto
2013-12-27 13:32,DGC 225 2012,http://www.documentcloud.org/documents/954279-dgc-225-2012.html,Coviares S.A. - Au La Plata,922.00,Servicio de peaje y telepeaje
2014-01-02 10:25,DGC 1974 2012,http://www.documentcloud.org/documents/957521-dgc-1974-2012.html,Servicio de comedor - Honorable Senado de la Nación ,3401.0,Gastos de protocolo y ceremonial
2014-01-02 10:28,DGC 2021 2012,http://www.documentcloud.org/documents/957609-dgc-2021-2012.html,Honorable Senado de la Nación,931.0,Gastos de protocolo y ceremonial
2014-01-02 10:31,DGC 1646 2012,http://www.documentcloud.org/documents/957024-dgc-1646-2012.html,Honorable Senado de la Nación,17583.55,Viáticos y gastos
2014-01-02 10:35,DGC 679 2012,http://www.documentcloud.org/documents/955317-dgc-679-2012.html,Vía Bariloche S.A.,27817.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-01-02 10:39,DGC 2251 2012,http://www.documentcloud.org/documents/957938-dgc-2251-2012.html,Honorable Senado de la Nación,5552.7,Viáticos y gastos
2014-01-02 10:42,DGC 475 2012,http://www.documentcloud.org/documents/954836-dgc-475-2012.html,Honorable Senado de la Nación,33871.53,Viáticos y gastos
2014-01-02 11:27,DGC 2223 2012,http://www.documentcloud.org/documents/957898-dgc-2223-2012.html,Honorable Senado de la Nación,7403.6,Viáticos y gastos
2014-01-02 11:57,DGC 953 2012,http://www.documentcloud.org/documents/956007-dgc-953-2012.html,Honorable Senado de la Nación,32474.72,Viáticos y gastos
2014-01-02 13:47,DGC 1597 2012,http://www.documentcloud.org/documents/956951-dgc-1597-2012.html,Honorable Senado de la Nación,4020.0,Mantenimiento y reparación de vehículos
2014-01-09 10:02,DGC 178 2012,http://www.documentcloud.org/documents/954138-dgc-178-2012.html,Honorable Senado de la Nación,8993.25,Viáticos y gastos
